r1_domain,r2_domain,r1_h_index,r2_h_index,r1_publications,r2_publications,r1_years_experience,r2_years_experience,r1_institution,r2_institution,r1_country,r2_country,r1_citations,r2_citations,r1_grants,r2_grants,shared_keywords,same_domain,same_institution_type,same_country,h_index_diff,experience_diff,total_grants,avg_publications,compatibility_score,compatible
Quantum Computing,IoT,3,7,44,17,26,5,NIT,Central University,USA,Germany,1012,306,2,3,0,0,0,0,4,21,5,30.5,39,0
Bioinformatics,Bioinformatics,9,9,37,25,16,3,IIT,Research Institute,Germany,USA,851,225,6,0,6,1,0,0,0,13,6,31.0,84,1
Computer Vision,Quantum Computing,11,3,33,24,24,21,Private University,Central University,UK,Canada,462,312,3,8,0,0,0,0,8,3,11,28.5,42,0
Cybersecurity,Bioinformatics,5,16,16,42,19,18,Central University,NIT,Germany,Germany,304,378,3,8,1,0,0,1,11,1,11,29.0,55,1
IoT,Cybersecurity,6,10,16,45,7,23,IIT,Research Institute,USA,UK,320,630,7,9,1,0,0,0,4,16,16,30.5,36,0
Quantum Computing,Bioinformatics,11,9,44,32,25,17,Central University,IIT,Canada,Canada,924,160,3,8,0,0,0,1,2,8,11,38.0,63,1
Cybersecurity,Quantum Computing,8,7,30,35,7,9,Central University,IIT,India,Australia,300,595,0,5,1,0,0,0,1,2,5,32.5,69,1
IoT,Quantum Computing,15,17,42,37,1,2,Central University,Central University,USA,USA,882,296,2,7,0,0,1,1,2,1,9,39.5,68,1
Robotics,NLP,7,22,53,42,5,12,Research Institute,IIT,UK,Canada,1060,252,5,7,1,0,0,0,15,7,12,47.5,55,1
Machine Learning,Machine Learning,10,6,26,25,18,11,Central University,Research Institute,Germany,UK,520,225,6,0,6,1,0,0,4,7,6,25.5,70,1
NLP,Data Science,6,14,27,29,1,4,IIT,Private University,UK,USA,594,145,8,3,1,0,0,0,8,3,11,28.0,43,0
Robotics,Data Science,8,4,23,25,24,29,NIT,Research Institute,Australia,Australia,552,350,7,0,1,0,0,1,4,5,7,24.0,55,1
Bioinformatics,IoT,8,11,27,19,20,25,NIT,Central University,UK,Canada,351,133,0,1,1,0,0,0,3,5,1,23.0,54,0
Data Science,Computer Vision,6,4,27,24,15,15,IIT,NIT,Germany,USA,270,144,3,4,1,0,0,0,2,0,7,25.5,47,0
Cybersecurity,Computer Vision,5,24,12,41,6,27,Research Institute,Private University,UK,India,156,943,3,4,0,0,0,0,19,21,7,26.5,25,0
Bioinformatics,IoT,5,20,17,46,4,6,Research Institute,Central University,India,Canada,187,920,0,5,0,0,0,0,15,2,5,31.5,41,0
Bioinformatics,Data Science,18,8,30,46,25,10,Research Institute,IIT,Germany,Canada,570,1012,3,3,0,0,0,0,10,15,6,38.0,44,0
Robotics,Quantum Computing,17,2,28,28,1,4,Private University,Research Institute,India,UK,420,476,1,7,1,0,0,0,15,3,8,28.0,34,0
Quantum Computing,Computer Vision,7,14,34,38,19,28,NIT,Private University,Canada,Canada,612,190,9,5,0,0,0,1,7,9,14,36.0,58,1
Bioinformatics,NLP,6,17,21,27,27,18,Private University,IIT,India,India,210,162,9,5,1,0,0,1,11,9,14,24.0,52,0
Bioinformatics,Computer Vision,9,4,31,42,11,6,Private University,NIT,India,Australia,248,840,0,4,0,0,0,0,5,5,4,36.5,44,0
NLP,Data Science,4,14,31,24,19,23,Private University,Research Institute,Germany,Germany,217,576,3,7,0,0,0,1,10,4,10,27.5,54,0
Quantum Computing,Computer Vision,5,4,15,18,7,5,NIT,Private University,Germany,Australia,300,252,0,6,0,0,0,0,1,2,6,16.5,56,1
Cybersecurity,Data Science,15,19,30,31,29,13,Central University,NIT,India,Germany,570,651,4,6,1,0,0,0,4,16,10,30.5,31,0
IoT,Computer Vision,18,14,31,35,17,2,NIT,Central University,UK,Australia,465,455,9,9,1,0,0,0,4,15,18,33.0,45,0
Data Science,Bioinformatics,5,6,22,38,15,15,IIT,NIT,Germany,India,264,532,8,0,0,0,0,0,1,0,8,30.0,77,1
IoT,Robotics,2,17,47,34,15,17,IIT,Research Institute,Canada,India,799,374,0,4,1,0,0,0,15,2,4,40.5,58,1
Machine Learning,NLP,13,17,36,41,27,9,Central University,Research Institute,USA,USA,252,205,4,8,1,0,0,1,4,18,12,38.5,70,1
Computer Vision,Quantum Computing,10,6,25,23,29,25,Research Institute,NIT,USA,USA,575,276,2,1,0,0,0,1,4,4,3,24.0,60,1
Data Science,Machine Learning,15,6,33,23,8,15,NIT,Central University,Australia,USA,264,552,3,9,0,0,0,0,9,7,12,28.0,54,0
NLP,NLP,6,3,15,20,4,17,Research Institute,IIT,UK,Canada,360,260,9,1,6,1,0,0,3,13,10,17.5,84,1
Machine Learning,Data Science,12,21,19,46,16,28,NIT,NIT,India,Australia,323,598,6,5,0,0,1,0,9,12,11,32.5,48,0
Data Science,Bioinformatics,5,23,14,40,10,22,IIT,IIT,USA,USA,126,800,4,7,1,0,1,1,18,12,11,27.0,49,0
Cybersecurity,Computer Vision,4,13,32,36,26,6,Research Institute,Private University,India,Germany,192,684,1,2,1,0,0,0,9,20,3,34.0,19,0
Data Science,Computer Vision,15,5,25,22,26,24,Research Institute,Private University,Australia,Australia,450,528,3,9,0,0,0,1,10,2,12,23.5,61,1
Robotics,Cloud Computing,17,8,31,30,6,14,Research Institute,Central University,India,Germany,217,360,4,6,1,0,0,0,9,8,10,30.5,44,0
Machine Learning,Cybersecurity,11,12,25,60,6,13,IIT,Private University,Germany,Canada,500,1260,3,2,1,0,0,0,1,7,5,42.5,60,1
Computer Vision,IoT,4,18,25,42,16,23,Private University,IIT,Canada,India,175,798,5,9,0,0,0,0,14,7,14,33.5,34,0
Data Science,Computer Vision,17,15,37,24,29,24,Research Institute,NIT,USA,UK,851,360,1,1,0,0,0,0,2,5,2,30.5,54,0
Quantum Computing,Data Science,6,4,10,18,22,18,Research Institute,Private University,Australia,Australia,210,396,9,7,0,0,0,1,2,4,16,14.0,65,1
Cloud Computing,Cloud Computing,9,9,50,40,9,12,Central University,Research Institute,Germany,Germany,700,880,5,0,6,1,0,1,0,3,5,45.0,100,1
Computer Vision,Cloud Computing,20,13,55,17,22,5,IIT,NIT,Canada,Germany,1320,357,5,5,1,0,0,0,7,17,10,36.0,33,0
IoT,Data Science,7,10,22,30,20,14,NIT,Private University,Germany,Germany,264,450,7,6,1,0,0,1,3,6,13,26.0,72,1
Cybersecurity,Cybersecurity,13,18,24,38,9,8,IIT,Central University,UK,Canada,168,722,2,4,6,1,0,0,5,1,6,31.0,83,1
Bioinformatics,IoT,13,10,34,23,19,6,Central University,IIT,USA,India,612,322,1,3,0,0,0,0,3,13,4,28.5,39,0
Computer Vision,Computer Vision,6,6,21,15,29,26,IIT,Central University,Germany,USA,294,120,6,1,6,1,0,0,0,3,7,18.0,76,1
Cloud Computing,Cloud Computing,5,18,32,37,6,10,IIT,Research Institute,Australia,UK,448,518,7,4,6,1,0,0,13,4,11,34.5,75,1
Computer Vision,Cybersecurity,8,2,32,33,17,9,Private University,IIT,UK,UK,608,396,9,3,1,0,0,1,6,8,12,32.5,67,1
Quantum Computing,Computer Vision,9,22,34,29,28,25,Central University,Research Institute,UK,Australia,374,348,8,0,0,0,0,0,13,3,8,31.5,41,0
Robotics,IoT,5,20,24,32,22,24,NIT,NIT,Canada,India,192,224,6,2,0,0,1,0,15,2,8,28.0,43,0
Data Science,Computer Vision,14,22,47,38,25,29,Research Institute,Central University,UK,Australia,470,342,2,3,0,0,0,0,8,4,5,42.5,45,0
Robotics,Quantum Computing,13,26,62,58,4,1,Private University,Research Institute,Australia,Canada,1054,290,9,0,1,0,0,0,13,3,9,60.0,44,0
Cloud Computing,Bioinformatics,12,5,25,32,7,17,IIT,IIT,Australia,USA,225,352,0,1,0,0,1,0,7,10,1,28.5,43,0
Bioinformatics,Data Science,18,4,31,19,20,1,Central University,IIT,UK,USA,589,456,8,8,1,0,0,0,14,19,16,25.0,56,1
NLP,Cybersecurity,10,7,28,27,15,10,Research Institute,IIT,Canada,USA,448,621,0,6,0,0,0,0,3,5,6,27.5,71,1
Machine Learning,Cloud Computing,11,9,41,44,24,11,IIT,NIT,Canada,Germany,410,924,5,4,0,0,0,0,2,13,9,42.5,41,0
Cybersecurity,NLP,9,10,26,30,19,17,Private University,Central University,UK,UK,260,450,1,3,1,0,0,1,1,2,4,28.0,67,1
Data Science,Computer Vision,28,15,56,30,14,10,Research Institute,IIT,Australia,USA,1288,660,9,7,0,0,0,0,13,4,16,43.0,48,0
NLP,Computer Vision,5,8,29,27,9,22,Research Institute,Central University,India,Germany,551,378,7,8,1,0,0,0,3,13,15,28.0,59,1
Cybersecurity,IoT,14,12,34,22,16,18,Private University,Private University,Australia,UK,714,528,2,6,1,0,1,0,2,2,8,28.0,65,1
Robotics,Data Science,4,7,31,29,26,29,Research Institute,Private University,India,India,744,551,0,9,1,0,0,1,3,3,9,30.0,73,1
Bioinformatics,Cloud Computing,3,9,44,25,5,8,Research Institute,Central University,Germany,India,440,175,0,7,1,0,0,0,6,3,7,34.5,49,0
Robotics,Machine Learning,11,9,34,21,23,2,Private University,IIT,Australia,USA,306,105,7,7,1,0,0,0,2,21,14,27.5,63,1
Bioinformatics,Bioinformatics,11,17,54,32,27,24,NIT,Central University,USA,UK,648,608,5,1,6,1,0,0,6,3,6,43.0,94,1
Computer Vision,Cybersecurity,9,2,23,31,1,6,IIT,NIT,Germany,USA,115,217,8,7,1,0,0,0,7,5,15,27.0,54,0
Cybersecurity,Robotics,9,4,22,25,16,29,Research Institute,Research Institute,Canada,Australia,396,425,5,0,0,0,1,0,5,13,5,23.5,32,0
Data Science,Machine Learning,8,11,20,22,26,14,IIT,Private University,Germany,India,480,396,5,6,1,0,0,0,3,12,11,21.0,66,1
IoT,Quantum Computing,10,13,21,23,17,24,IIT,Private University,UK,Australia,147,483,2,6,0,0,0,0,3,7,8,22.0,72,1
Cybersecurity,Computer Vision,7,6,19,25,14,26,Private University,Private University,UK,India,171,425,3,1,0,0,1,0,1,12,4,22.0,32,0
Data Science,IoT,9,8,17,21,13,16,NIT,Central University,Australia,India,102,147,7,9,1,0,0,0,1,3,16,19.0,62,1
Cybersecurity,Cybersecurity,4,9,9,44,6,26,IIT,Research Institute,USA,Germany,162,572,3,4,6,1,0,0,5,20,7,26.5,79,1
Cloud Computing,Bioinformatics,10,4,26,16,11,24,IIT,Central University,Germany,USA,546,160,3,2,1,0,0,0,6,13,5,21.0,30,0
Data Science,Cloud Computing,17,2,31,11,3,10,NIT,IIT,India,Australia,403,253,6,4,0,0,0,0,15,7,10,21.0,51,0
Cloud Computing,Data Science,2,12,33,39,16,9,NIT,NIT,UK,USA,627,702,8,2,1,0,1,0,10,7,10,36.0,47,0
Computer Vision,Robotics,6,5,19,16,13,18,NIT,NIT,UK,Australia,209,240,6,0,0,0,1,0,1,5,6,17.5,62,1
NLP,IoT,11,18,36,46,11,7,IIT,Private University,USA,Australia,684,874,9,6,1,0,0,0,7,4,15,41.0,52,0
Quantum Computing,Quantum Computing,4,7,14,26,17,23,Private University,Research Institute,Canada,UK,112,520,4,9,6,1,0,0,3,6,13,20.0,92,1
Data Science,Computer Vision,6,14,32,46,15,20,NIT,Private University,Germany,Germany,576,1104,3,8,1,0,0,1,8,5,11,39.0,45,0
Bioinformatics,Machine Learning,10,8,27,17,13,9,Central University,Central University,Australia,Australia,621,187,6,2,0,0,1,1,2,4,8,22.0,60,1
Computer Vision,IoT,4,11,32,34,4,4,Central University,IIT,Germany,India,704,544,1,1,0,0,0,0,7,0,2,33.0,39,0
Data Science,Computer Vision,24,9,35,16,3,24,Central University,Research Institute,India,Australia,805,336,4,6,0,0,0,0,15,21,10,25.5,32,0
Cloud Computing,Quantum Computing,2,27,25,51,17,4,Private University,Research Institute,Germany,Canada,125,816,0,2,1,0,0,0,25,13,2,38.0,27,0
Machine Learning,Robotics,12,11,39,36,10,6,Private University,Central University,Australia,Australia,819,504,5,9,1,0,0,1,1,4,14,37.5,60,1
IoT,Machine Learning,21,13,33,26,16,26,Research Institute,Private University,USA,India,561,156,5,7,0,0,0,0,8,10,12,29.5,43,0
Data Science,NLP,10,11,41,29,7,25,IIT,IIT,Australia,USA,246,522,0,1,0,0,1,0,1,18,1,35.0,44,0
IoT,Cloud Computing,21,22,57,46,10,24,Private University,Research Institute,Australia,USA,1026,460,4,3,0,0,0,0,1,14,7,51.5,63,1
Data Science,Cybersecurity,7,14,15,38,20,14,Central University,Private University,UK,UK,330,418,5,5,1,0,0,1,7,6,10,26.5,65,1
Quantum Computing,Data Science,4,7,24,28,22,14,IIT,IIT,Canada,UK,456,532,1,0,0,0,1,0,3,8,1,26.0,42,0
Computer Vision,Cybersecurity,13,9,43,24,3,5,Research Institute,Central University,Canada,UK,387,288,8,6,0,0,0,0,4,2,14,33.5,64,1
Quantum Computing,Computer Vision,16,10,34,24,16,17,NIT,Research Institute,UK,Canada,238,144,3,3,1,0,0,0,6,1,6,29.0,47,0
NLP,Cybersecurity,15,5,36,28,27,6,Central University,NIT,UK,Australia,576,476,3,8,1,0,0,0,10,21,11,32.0,46,0
Computer Vision,Cybersecurity,10,12,23,62,8,20,Central University,Central University,Australia,USA,322,1426,9,6,0,0,1,0,2,12,15,42.5,51,0
Cloud Computing,Cybersecurity,6,8,28,34,19,27,IIT,Research Institute,Canada,UK,280,816,3,5,0,0,0,0,2,8,8,31.0,76,1
Machine Learning,NLP,10,8,19,19,14,11,Central University,NIT,UK,UK,304,399,2,6,1,0,0,1,2,3,8,19.0,80,1
IoT,NLP,16,10,50,27,11,14,NIT,NIT,USA,India,950,189,8,0,0,0,1,0,6,3,8,38.5,50,0
Bioinformatics,Cloud Computing,6,8,27,22,27,10,IIT,Research Institute,Australia,India,513,242,4,5,0,0,0,0,2,17,9,24.5,57,1
Data Science,Quantum Computing,9,5,23,28,18,4,Research Institute,Private University,USA,USA,230,420,3,5,1,0,0,1,4,14,8,25.5,43,0
NLP,Quantum Computing,5,10,33,29,29,18,NIT,NIT,Canada,Canada,759,580,3,2,0,0,1,1,5,11,5,31.0,38,0
IoT,Data Science,5,10,11,39,9,21,IIT,NIT,Germany,Germany,88,429,5,0,0,0,0,1,5,12,5,25.0,52,0
Quantum Computing,IoT,11,11,42,33,18,7,Central University,NIT,Canada,Australia,378,429,8,5,0,0,0,0,0,11,13,37.5,56,1
Robotics,Robotics,6,7,19,23,20,6,Central University,Central University,Germany,Canada,209,207,4,9,6,1,1,0,1,14,13,21.0,76,1
Quantum Computing,Bioinformatics,7,11,29,33,17,25,Private University,Private University,Germany,Australia,174,660,7,6,1,0,1,0,4,8,13,31.0,53,0
Cloud Computing,Robotics,15,10,24,30,23,7,Private University,Research Institute,USA,USA,216,570,9,2,0,0,0,1,5,16,11,27.0,49,0
Bioinformatics,IoT,16,8,30,25,13,21,IIT,Central University,Canada,Australia,690,175,2,7,0,0,0,0,8,8,9,27.5,52,0
Computer Vision,Bioinformatics,9,15,29,35,25,1,Research Institute,IIT,India,USA,319,490,6,7,1,0,0,0,6,24,13,32.0,46,0
Bioinformatics,NLP,4,8,21,28,16,25,Private University,Private University,Australia,India,378,616,8,1,0,0,1,0,4,9,9,24.5,53,0
Robotics,Machine Learning,7,18,21,53,28,13,Private University,Private University,UK,India,105,901,3,4,0,0,1,0,11,15,7,37.0,36,0
Cybersecurity,Robotics,12,15,36,43,18,26,Research Institute,Private University,UK,India,684,774,1,5,0,0,0,0,3,8,6,39.5,61,1
Data Science,Data Science,11,13,44,41,24,28,NIT,IIT,India,Canada,1012,984,1,0,6,1,0,0,2,4,1,42.5,72,1
Data Science,Machine Learning,5,2,37,16,23,11,NIT,Central University,USA,Germany,740,240,2,6,1,0,0,0,3,12,8,26.5,67,1
NLP,Quantum Computing,4,10,14,24,23,16,Private University,IIT,Germany,India,238,576,1,5,0,0,0,0,6,7,6,19.0,43,0
Machine Learning,NLP,13,7,22,21,13,9,Central University,Research Institute,USA,Canada,374,126,0,8,1,0,0,0,6,4,8,21.5,77,1
Quantum Computing,Computer Vision,3,10,19,27,11,18,Research Institute,Central University,Germany,USA,342,567,1,3,0,0,0,0,7,7,4,23.0,47,0
Bioinformatics,Robotics,4,13,13,43,11,22,IIT,Private University,India,Canada,78,989,8,8,0,0,0,0,9,11,16,28.0,31,0
Quantum Computing,Computer Vision,11,6,23,29,2,25,Private University,Private University,India,Australia,391,696,5,1,1,0,1,0,5,23,6,26.0,44,0
Cloud Computing,Cloud Computing,5,18,13,35,13,18,IIT,Research Institute,Canada,USA,169,665,9,1,6,1,0,0,13,5,10,24.0,79,1
NLP,Machine Learning,14,12,26,18,3,9,Central University,Research Institute,Germany,UK,520,432,8,6,1,0,0,0,2,6,14,22.0,71,1
Robotics,NLP,4,9,27,24,19,13,Research Institute,IIT,Germany,Australia,243,144,6,8,0,0,0,0,5,6,14,25.5,46,0
Data Science,Cloud Computing,5,17,17,25,11,16,IIT,Research Institute,Australia,Australia,408,325,4,3,0,0,0,1,12,5,7,21.0,53,0
Cloud Computing,IoT,6,10,21,21,7,28,IIT,IIT,Germany,Canada,483,420,0,3,0,0,1,0,4,21,3,21.0,44,0
Cybersecurity,Machine Learning,8,14,21,24,18,2,Central University,Central University,UK,India,210,168,8,5,0,0,1,0,6,16,13,22.5,38,0
Data Science,Computer Vision,13,6,33,32,27,1,NIT,Research Institute,Canada,Canada,396,384,2,7,1,0,0,1,7,26,9,32.5,43,0
Data Science,Data Science,7,15,15,38,1,1,NIT,Research Institute,India,UK,300,836,5,3,6,1,0,0,8,0,8,26.5,65,1
NLP,IoT,6,8,40,39,3,17,Private University,NIT,Canada,USA,960,936,2,6,1,0,0,0,2,14,8,39.5,62,1
Computer Vision,Bioinformatics,15,8,29,36,18,20,Private University,NIT,India,India,232,756,6,0,1,0,0,1,7,2,6,32.5,64,1
Robotics,Bioinformatics,5,2,26,5,29,29,IIT,Research Institute,UK,Germany,260,120,7,4,0,0,0,0,3,0,11,15.5,42,0
Cloud Computing,Machine Learning,3,14,25,41,16,5,Private University,NIT,UK,UK,150,369,3,3,1,0,0,1,11,11,6,33.0,47,0
Data Science,Data Science,3,30,15,56,2,27,IIT,Central University,Canada,India,195,1008,3,0,6,1,0,0,27,25,3,35.5,53,0
Data Science,IoT,6,8,17,25,18,13,Private University,Private University,Germany,UK,255,525,0,4,0,0,1,0,2,5,4,21.0,46,0
NLP,IoT,6,11,27,25,26,6,Private University,Central University,Canada,Australia,162,125,9,3,1,0,0,0,5,20,12,26.0,51,0
Bioinformatics,Cybersecurity,15,6,36,20,27,6,IIT,IIT,Canada,Germany,684,240,9,0,1,0,1,0,9,21,9,28.0,33,0
Quantum Computing,Bioinformatics,15,9,24,33,25,1,NIT,Central University,Australia,India,168,660,5,1,0,0,0,0,6,24,6,28.5,46,0
Computer Vision,Bioinformatics,13,11,40,31,3,19,Central University,Central University,Canada,Germany,920,155,8,4,0,0,1,0,2,16,12,35.5,50,0
Quantum Computing,IoT,17,9,52,28,11,2,Private University,Central University,USA,Germany,1092,504,8,3,1,0,0,0,8,9,11,40.0,45,0
Machine Learning,Cybersecurity,10,13,46,51,17,26,Central University,Central University,Australia,Canada,414,510,5,2,1,0,1,0,3,9,7,48.5,55,1
Machine Learning,Cybersecurity,5,8,20,40,27,15,IIT,Central University,Canada,Australia,180,280,1,6,0,0,0,0,3,12,7,30.0,46,0
NLP,Quantum Computing,6,10,43,50,18,10,IIT,Private University,USA,India,645,550,6,9,1,0,0,0,4,8,15,46.5,43,0
NLP,Data Science,12,3,27,39,15,27,IIT,Central University,USA,Germany,378,819,2,1,1,0,0,0,9,12,3,33.0,18,0
Quantum Computing,NLP,13,11,17,24,28,24,IIT,Private University,Australia,UK,85,288,9,7,0,0,0,0,2,4,16,20.5,71,1
Data Science,Quantum Computing,7,15,23,39,24,23,Private University,NIT,India,Australia,299,546,3,0,1,0,0,0,8,1,3,31.0,31,0
Data Science,Bioinformatics,5,12,21,49,17,13,Private University,NIT,UK,India,168,931,1,4,0,0,0,0,7,4,5,35.0,73,1
Machine Learning,Cloud Computing,21,8,62,27,17,12,NIT,Private University,Germany,Australia,1364,567,4,7,0,0,0,0,13,5,11,44.5,34,0
Computer Vision,IoT,13,14,28,29,21,10,Central University,NIT,UK,Australia,308,580,3,9,1,0,0,0,1,11,12,28.5,51,0
Bioinformatics,Computer Vision,15,11,25,29,11,4,Private University,NIT,USA,India,450,435,6,1,1,0,0,0,4,7,7,27.0,51,0
IoT,IoT,7,14,26,27,24,23,NIT,IIT,Canada,Canada,156,513,9,6,6,1,0,1,7,1,15,26.5,90,1
Data Science,Computer Vision,8,5,31,12,12,14,Central University,Research Institute,Canada,Australia,372,120,1,3,1,0,0,0,3,2,4,21.5,67,1
Bioinformatics,NLP,5,16,27,39,7,3,Central University,Central University,USA,Australia,540,351,2,6,0,0,1,0,11,4,8,33.0,36,0
Robotics,NLP,11,5,26,18,8,14,IIT,NIT,USA,Germany,390,252,5,5,1,0,0,0,6,6,10,22.0,53,0
Machine Learning,Quantum Computing,22,11,46,45,7,5,Central University,Central University,Australia,Germany,368,1035,9,1,1,0,1,0,11,2,10,45.5,43,0
Cloud Computing,Computer Vision,3,5,17,18,25,21,NIT,IIT,Australia,UK,272,432,8,7,1,0,0,0,2,4,15,17.5,59,1
Cybersecurity,Cybersecurity,7,22,19,38,21,26,Private University,Private University,Australia,Australia,304,380,1,5,6,1,1,1,15,5,6,28.5,78,1
Computer Vision,Computer Vision,14,6,33,53,19,24,NIT,Private University,UK,Germany,462,265,7,1,6,1,0,0,8,5,8,43.0,81,1
Cloud Computing,Cloud Computing,10,6,23,36,20,1,Central University,Research Institute,USA,USA,322,324,9,1,6,1,0,1,4,19,10,29.5,88,1
NLP,Machine Learning,8,13,14,49,29,19,Private University,IIT,Australia,Australia,224,1078,4,4,1,0,0,1,5,10,8,31.5,83,1
NLP,NLP,13,6,25,33,2,29,Central University,Central University,USA,Canada,300,231,1,9,6,1,1,0,7,27,10,29.0,71,1
Robotics,Bioinformatics,25,20,45,35,12,28,Central University,IIT,Australia,UK,270,455,4,4,0,0,0,0,5,16,8,40.0,39,0
Robotics,NLP,14,14,25,40,15,16,Research Institute,Central University,UK,Australia,350,320,7,4,1,0,0,0,0,1,11,32.5,50,0
Cloud Computing,NLP,15,9,36,24,21,29,IIT,Research Institute,Australia,Australia,720,192,0,7,1,0,0,1,6,8,7,30.0,59,1
NLP,Quantum Computing,7,7,39,37,28,14,NIT,Research Institute,Canada,UK,507,222,4,6,1,0,0,0,0,14,10,38.0,57,1
Quantum Computing,Computer Vision,7,8,30,20,1,10,IIT,IIT,India,Canada,330,320,7,5,1,0,1,0,1,9,12,25.0,62,1
Quantum Computing,Robotics,3,3,14,16,5,4,Central University,Research Institute,Canada,Germany,98,208,8,1,0,0,0,0,0,1,9,15.0,49,0
Quantum Computing,Cloud Computing,4,5,16,42,26,17,IIT,Central University,Germany,Canada,336,546,7,3,0,0,0,0,1,9,10,29.0,51,0
Bioinformatics,Cybersecurity,14,7,35,24,15,25,Private University,Central University,USA,Germany,420,456,2,3,1,0,0,0,7,10,5,29.5,51,0
Computer Vision,IoT,16,15,42,39,18,22,IIT,Private University,USA,Germany,882,936,6,6,1,0,0,0,1,4,12,40.5,65,1
IoT,Quantum Computing,11,2,27,19,13,12,NIT,NIT,UK,UK,594,152,3,1,1,0,1,1,9,1,4,23.0,31,0
Data Science,NLP,18,6,24,27,26,21,Central University,Central University,Germany,Australia,336,567,9,8,0,0,1,0,12,5,17,25.5,31,0
Cloud Computing,Robotics,6,4,21,24,11,11,IIT,Private University,UK,India,483,504,3,3,1,0,0,0,2,0,6,22.5,56,1
Bioinformatics,NLP,5,3,34,31,24,21,Private University,IIT,USA,India,612,682,6,5,0,0,0,0,2,3,11,32.5,68,1
Bioinformatics,Cybersecurity,9,9,21,48,13,21,Private University,NIT,Australia,USA,210,816,6,0,0,0,0,0,0,8,6,34.5,63,1
Data Science,Data Science,7,12,26,34,15,7,Research Institute,NIT,Canada,USA,156,714,3,6,6,1,0,0,5,8,9,30.0,78,1
IoT,IoT,7,16,25,30,9,18,Research Institute,Central University,Germany,Germany,200,630,2,7,6,1,0,1,9,9,9,27.5,74,1
Machine Learning,Cloud Computing,7,2,27,20,13,27,IIT,Private University,Germany,USA,432,220,3,5,1,0,0,0,5,14,8,23.5,45,0
Robotics,Machine Learning,3,10,32,22,29,6,Research Institute,IIT,UK,UK,704,286,7,8,1,0,0,1,7,23,15,27.0,47,0
IoT,IoT,18,7,44,17,25,6,Research Institute,Central University,Canada,Australia,704,136,1,7,6,1,0,0,11,19,8,30.5,57,1
Machine Learning,NLP,14,19,33,34,15,2,IIT,Central University,Germany,Canada,528,340,9,1,1,0,0,0,5,13,10,33.5,57,1
Data Science,Machine Learning,15,7,38,27,18,29,Private University,Private University,UK,India,342,432,1,0,0,0,1,0,8,11,1,32.5,34,0
Quantum Computing,Data Science,11,6,26,24,6,6,Research Institute,Research Institute,USA,UK,598,192,4,7,0,0,1,0,5,0,11,25.0,37,0
Computer Vision,IoT,7,5,17,19,8,2,Private University,Research Institute,Australia,UK,289,323,3,3,1,0,0,0,2,6,6,18.0,69,1
Quantum Computing,NLP,6,15,23,45,3,25,Research Institute,IIT,India,Germany,161,540,9,5,1,0,0,0,9,22,14,34.0,34,0
Data Science,Data Science,28,3,47,18,21,13,Central University,NIT,Australia,USA,658,108,9,5,6,1,0,0,25,8,14,32.5,86,1
Quantum Computing,Cloud Computing,8,3,24,23,17,22,Research Institute,IIT,Germany,India,408,552,5,8,0,0,0,0,5,5,13,23.5,56,1
Machine Learning,Data Science,7,14,46,20,15,27,NIT,Private University,Canada,Australia,414,400,6,1,0,0,0,0,7,12,7,33.0,50,0
IoT,Cloud Computing,8,30,23,50,13,27,NIT,NIT,Australia,UK,299,850,4,9,1,0,1,0,22,14,13,36.5,43,0
Quantum Computing,Cybersecurity,9,3,22,28,2,26,Central University,Research Institute,USA,Canada,418,644,9,6,1,0,0,0,6,24,15,25.0,37,0
Bioinformatics,Cloud Computing,9,11,38,40,1,28,Research Institute,Research Institute,UK,Australia,418,440,5,0,0,0,1,0,2,27,5,39.0,50,0
IoT,IoT,6,8,24,38,12,18,Research Institute,IIT,UK,UK,336,608,4,3,6,1,0,1,2,6,7,31.0,100,1
Data Science,Quantum Computing,12,5,28,32,26,27,IIT,Central University,Germany,Canada,476,640,9,0,1,0,0,0,7,1,9,30.0,39,0
Machine Learning,Bioinformatics,11,9,24,46,11,25,Research Institute,Research Institute,Germany,Australia,144,690,5,7,1,0,1,0,2,14,12,35.0,35,0
Robotics,IoT,4,8,24,38,21,15,IIT,NIT,Australia,Australia,576,532,7,5,1,0,0,1,4,6,12,31.0,68,1
